#sound,spell,class,extra
#lines marked for "dubious" should be discarded for systematic treatment of sounds
sjɛ1lə0,cie/l/,added,corrected
sɛ̃1k,cin/q,dubious
sɛ̃1kə0,cin/q/,added,corrected
klɛ1ʁ,clai/r,
kla1s,cla/sse,dubious
kla1sə0,cla/sse/,added,corrected
kle1,clé/,
kle1,clé/s,added
klɔ1ʃ,clo/che,
kœ1ʁ,cœu/r,
kœ1ʁ,cœu/rs,added
kɔ2fʁə0fɔ1ʁ,co/ffre/-fo/rt,
kwɛ̃1,coin/,
kwɛ̃1,coin/s,added
kɔ2lɛ1ʁ,co/lè/re,
kɔ2li1n,co/lli/ne,dubious
kɔ2li1nə0,co/lli/ne/,added,corrected
kɔ2lɔ2ni1,co/lo/nie/,
kɔ2lɔ1n,co/lo/nne,dubious
kɔ2lɔ1nə0,co/lo/nne/,added,corrected
kɔ1m,co/mme,dubious
kɔ1mə0,co/mme/,added,corrected
kɔ2mɑ̃2se1,co/mmen/ce/r,
kɔ2mɑ̃1,co/mmen/t,
kɔ2mɛ1ʁs,co/mme/rce,
kɔ2mœ̃1,co/mmun/,
kɔ̃2pa2ʁe1,com/pa/re/r,
kɔ̃2pe2tɑ̃1s,com/pé/ten/ce,
kɔ̃2plɛ1t,com/plè/te,dubious
kɔ̃2plɛ1tə0,com/plè/te/,added,corrected
kɔ̃2te1,com/pte/r,
kɔ̃2sɛ2psjɔ̃1,con/ce/ption/,
kɔ̃2sɛ2psjɔ̃1,con/ce/ption/s,added
kɔ̃2di2sjɔ̃1,con/di/tion/,
kɔ̃2di2sjɔ̃1,con/di/tion/s,added
kɔ̃2dɥi1ʁ,con/dui/re,questionable
kɔ̃2sɛ1j,con/se/il,dubious
kɔ̃2sɛ1jə0,con/se/il/,added,corrected
kɔ̃2sɛ2ʁve1,con/se/rvé/,
kɔ̃2sɔ1nə0,con/so/nne/,
kɔ̃2stʁɥi1ʁ,con/strui/re,questionable
kɔ̃2tni1ʁ,con/teni/r,
kɔ̃2tə0ni1ʁ,con/te/ni/r,added
kɔ̃2ti2nɑ̃1,con/ti/nen/t,
kɔ̃2ti2nɑ̃1,con/ti/nen/ts,added
kɔ̃2ti2nɥe1,con/ti/nue/r,
kɔ̃1tʁ,con/tre,
kɔ̃2tʁo1l,con/trô/le,dubious
kɔ̃2tʁo1lə0,con/trô/le/,added,corrected
kɔ2pi1,co/pie/,
kɔ2ki1j,co/qui/lle,dubious
kɔ2ki1jə0,co/qui/lle/,added,corrected
kɔ1ʁd,co/rde,
kɔ1ʁ,co/rps,
kɔ2ʁɛ1kt,co/rre/ct,
kɔ2sty1m,co/stu/me,dubious
kɔ2sty1mə0,co/stu/me/,added,corrected
ko1t,cô/te,dubious
ko1tə0,cô/te/,added,corrected
ko1tə0,cô/te/s,added,corrected
ko2te1,cô/té/,
kɔ2tɔ̃1,co/ton/,
kɔ2tɔ̃1,co/ton/s,added
ku1,cou/,
ku2lœ1ʁ,cou/leu/r,
ku1,cou/p,
ku1,cou/ps,added
ku1p,cou/pe,dubious
ku1pə0,cou/pe/,added,corrected
ku1ʁ,cou/r,
ku1ʁ,cou/rs,added
ku2ʁɑ̃1,cou/ran/t,
ku2ʁi1ʁ,cou/ri/r,
ku1ʁ,cou/rs,
ku1ʁs,cou/rse,dubious
ku1ʁsə0,cou/rse/,added,corrected
ku1ʁ,cou/rt,
ku1ʁ,cou/rts,added
ku1,coû/t,
ku2vɛ1ʁkl,cou/ve/rcle,dubious
ku2vɛ1ʁklə0,cou/ve/rcle/,added,corrected
kʁe2e1,cré/e/r,
kʁi1,cri/,
kʁwa1ʁ,croi/re,
kʁwa1tʁ,croî/tre,
kɥi2zi1nje2,cui/si/nie/r,
da1m,da/me,dubious
da1mmə0,da/me/,added,corrected
dɑ̃2ʒe1,dan/ge/r,
dɑ̃1,dan/s,
dɑ̃1s,dan/se,dubious
dɑ̃1sə0,dan/se/,added,corrected
də0,de/,
de2bi1,dé/bi/t,
de2by1,dé/bu/t,
de2sɛ1,dé/cè/s,
de2si2de1,dé/ci/de/r,
de2si2ma1l,dé/ci/ma/l,dubious
de2si2ma2lə0,dé/ci/ma/l/,added,corrected
de2kʁi1ʁ,dé/cri/re,
də0gʁe1,de/gré/,
də0ɔ1ʁ,de/ho/rs,
de2me2na2ʒmɑ̃1,dé/mé/na/gemen/t,
de2me2na2ʒmɑ̃1,dé/mé/na/gemen/ts,added
dɑ̃1,den/ts,
de2pɑ̃1dʁ,dé/pen/dre,
də0pɥi1,de/pui/s,
dɛ2ʁnje1,de/rnie/r,
dɛ2ʁjɛ1ʁ,de/rriè/re,
de2zɛ1ʁ,dé/se/rt,
de2tɛ2ʁmi1ne,dé/te/rmi/ne/r,
dø2,deu/x,
dø2zjɛ1m,deu/xiè/me,dubious
dø2zjɛ1mə0,deu/xiè/me/,added,corrected
de2vlɔ2pe1,dé/velo/ppe/r,
də0vi2ne1,de/vi/ne/r,
də0vʁɛ1,de/vrai/t,
di2ksjɔ2nɛ1ʁ,di/ctio/nnai/re,
di2fe2ʁe1,di/ffé/re/r,
di2fi2si1l,di/ffi/ci/le,
di2fi2ky2lte1,di/ffi/cu/lté/,
di1ʁ,di/re,
di2ʁɛ1kt,di/re/ct,
di2sku1ʁ,di/scou/rs,
di2sky2te1,di/scu/te/r,
di2spa2ʁy1,di/spa/ru/,
di2spa2ʁy1,di/spa/ru/e,added,questionable
di1,di/t,
di2vi2zjɔ̃1,di/vi/sion/,
di2vi2zjɔ̃1,di/vi/sion/s,added
di1s,di/x,
di1z,di/x,
di1,di/x,
dwa1,doi/gt,
dwa1,doi/t,
dɔ2la1ʁ,do/lla/r,
dɔ2mɛ1n,do/mai/ne,dubious
dɔ2mɛ1nə0,do/mai/ne/,added,corrected
dɔ2ne1,do/nné/,
dɔ2ne1,do/nne/r,
dɔ̃1,don/t,
du1bl,dou/ble,dubious
du1blə0,dou/ble/,added,corrected
du1,dou/x,
dʁwa1,droi/t,
dy1ʁ,du/r,
dy1ʁ,du/rs,added
o1,eau/,
e2ʃɛ1l,é/che/lle,dubious
e2ʃɛ1lə0,é/che/lle/,added,corrected
e2kla1,é/cla/t,
e2kɔ1l,é/co/le,
e2ku2te1,é/cou/te/r,
e2kʁi1ʁ,é/cri/re,
e2kʁi1,é/cri/t,
e2fɛ1,e/ffe/t,
e2ga1l,é/ga/l,dubious
e2ga1lə0,é/ga/l/,added,corrected
e2lɛ2ktʁi1k,é/le/ctri/que,dubious
e2lɛ2ktʁi1kə0,é/le/ctri/que/,added,corrected
e2le2mɑ̃1,é/lé/men/t,
ɛ1l,e/lle,dubious
ɛ1lə0,e/lle/,added,corrected
ɑ̃2plwa1,em/ploi/,
ɑ̃2kɔ1ʁ,en/co/re,
e2nɛ2ʁʒi1,é/ne/rgie/,
ɑ̃1fɑ̃2,en/fan/t,
ɑ̃1fɑ̃2,en/fan/ts,
ɛ2nmi1,e/nnemi/,dubious
ɛ2nə0mi1,e/nne/mi/,added,corrected
e2nɔ1ʁm,é/no/rme,dubious,corrected
e2nɔ1ʁmə0,é/no/rme/,added,corrected
ɑ̃2ʁə0ʒi2stʁe1,en/re/gi/stre/r,
ɑ̃2sɛ2ɲe1,en/sei/gne/r,
ɑ̃2sɑ̃1bl,en/sem/ble,dubious
ɑ̃2sɑ̃1blə0,en/sem/ble/,added,corrected
ɑ̃2tɑ̃1dʁ,en/ten/dre,
ɑ̃2tɑ̃2dy1,en/ten/du/,
ɑ̃2tʁɛ2nmɑ̃1,en/traî/nemen/t,dubious
ɑ̃2tʁɛ2nə0mɑ̃1,en/traî/ne/men/t,added,corrected
ɑ̃1tʁ,en/tre,
ɑ̃2tʁə0pʁi1z,en/tre/pri/se,dubious
ɑ̃2tʁə0pʁi1zə0,en/tre/pri/se/,added,corrected
ɑ̃2tʁe1,en/tre/r,
ɑ̃2vi2za2ʒe1,en/vi/sa/ge/r,
ɑ̃2vwa2je1,en/voy/e/r,problematic
e1pɛ2,é/pai/s,
