1aːbmt,/Abend
d1ɔplt,d/oppelt
d1ʊŋkl,d/unkel
f1ɪndn,f/inden
f1oːɡl,V/ogel
fʁ1aːɡŋ,fr/agen
ɡ1eːɡŋ,g/egen
h1aːbm,h/aben
h1aːfn,H/afen
h1altn,h/alten
h1andl,H/andel
h1ɪml,H/immel
k1aɔfn,k/aufen
l1asn,l/assen
l1eːbm,l/eben
l1eːɡŋ,l/egen
m1antl,M/antel
m1axn,m/achen
m1ɛʁkŋ,m/erken
m1ɛsn,m/essen
m1ɪʃn,m/ischen
m1ʏsn,m/üssen
n1ɔʁdn,N/orden
p1asn,p/assen
pfl1ʏkŋ,pfl/ücken
ʃ1afn,sch/affen
ʃ1ʏtsn,sch/ützen
ʃl1aːɡŋ,schl/agen
ʃl1ʏsl,Schl/üssel
ʃt1aɛɡŋ,st/eigen
ʃt1ɛʁbm,st/erben
t1aɔznt,t/ausend
tø1ːtn,t/öten
tʁ1ɛfn,tr/effen
tʁ1ɔkŋ,tr/ocken
ts1aɛɡŋ,z/eigen
tsv1ɪʃn,zw/ischen
v1aksn,w/achsen
v1ɛʁfn,w/erfen
v1ɪsn,w/issen
v1ʊʁtsl,W/urzel
z1eːɡl,S/egel
z1ɛndn,s/enden
z1ɪtsn,s/itzen
z1uːxn,s/uchen
1aɔs0ɐ,/auß/er
1aʁb2aɛt,/Arb/eit
1eː0ɐ,/eh/er
2ɐl1aɔbm,/erl/auben
2ɐʁ1aɛçn,/err/eichen
2ɐʃ1aɛn0ən,/ersch/ein/en
1aːb0ɐ,/ab/er
1aɛl0e,/Eil/e
1aɛnf2ax,/einf/ach
1aɛnɡ2eːbm,/eing/eben
1aɛnh2aɛt,/Einh/eit
1aɛnm2aːl,/einm/al
1aɛnʁ2aɛbm,/einr/eiben
1aɛnz2aːm,/eins/am
1al0e,/all/e
1alt0ɐ,/Alt/er
1aɔftʁ2eːtn,/auftr/eten
1aɔɡ0e,/Aug/e
1aɔt2oː,/Aut/o
1apz0ats,/Abs/atz
1axt2ʊŋ,/Acht/ung
1ɛk0e,/Eck/e
1ɛnd0e,/End/e
1ɛʁnt0e,/Ernt/e
1ɪm0ɐ,/imm/er
1uːf0ɐ,/Uf/er
1ʊnt0ɐ,/unt/er
0ak1ɔʁt,/Akk/ord
2at1oːm,/At/om
2ɐf1ɪndn,/erf/inden
2ɐf1ɔlk,/Erf/olg
2ɐh1altn,/erh/alten
2ɐʁ1aːtn,/err/aten
b1aːz0ɪs,B/as/is
b1aɔ0en,b/au/en
b0edɔœ1tn,b/ed/euten
b0eʁ1aɛç,B/er/eich
b2əʃt1ɛln,b/est/ellen
b2əz1ɪtsn,b/es/itzen
bʁ1ɪŋ0en,br/ing/en
d1aːm0e,D/am/e
d1aŋkŋ,d/anken
d1aɔ0ɐ,D/au/er
d1iːn0en,d/ien/en
d1iːz0e,d/ies/e
d1ɔl0aːʁ,D/oll/ar
d1eː0ɐ,d/e/r
f1aʁb0e,F/arb/e
f1ɪʁm2aː,F/irm/a
f1ɔʁtz2ɛtsn,f/orts/etzen
fʏ1ːs0e,F/üß/e
f2ɐɡl1aɛçn,v/ergl/eichen
f0ɐk1aɔfn,v/erk/aufen
f2ɐtʁ1eːtn,v/ertr/eten
f1iː0ɐ,v/ie/r
f1oː0ɐ,v/o/r
fʁɔœ1d0e,Fr/eud/e
fʁ0akts1ioːn,Fr/akt/ion
