a1,a/
ɲu0ᵐɓa1ni0,nyu/mba/ni/
ɲwe1le0,nywe/le/
ⁿzi1to0,nzi/to/
ⁿzu1ɾi0,nzu/ri/
o0fi1si0,o/fi/si/
o0ksi0ʄe1ni0,o/ksi/je/ni/
o0ɾo1ɗha0,o/ro/dha/
o1ʃa0,o/sha/
pa1ka0,pa/ka/
pa1ᵐɓa0,pa/mba/
pa0mo1ʄa0,pa/mo/ja/
pa1na0,pa/na/
pa1po0,pa/po/
pe0ᵐɓe0ta1tu0,pe/mbe/ta/tu/
pe1te0,pe/te/
pi1a0,pi/a/
pi1tʃa0,pi/cha/
pi1ɠo0,pi/go/
pi1li0,pi/li/
po0le0po1le0,po/le/po/le/
po1ɾi0,po/ri/
pu1a0,pu/a/
pwa1ni0,pwa/ni/
ɾa0fi1ki0,ra/fi/ki/
ɾa0hi1si0,ra/hi/si/
ɾa0ma1ni0,ra/ma/ni/
ɾa1ᵑgi0,ra/ngi/
ɾe0ko1ɗi0,re/ko/di/
ɾe1li0,re/li/
sa1a0,sa/a/
sa1ɓa0,sa/ba/
sa0ɓa1ɓu0,sa/ba/bu/
sa0fa1ɾi0,sa/fa/ri/
sa1fi0,sa/fi/
sa1fu0,sa/fu/
sa0hi1hi0,sa/hi/hi/
sa0ka1fu0,sa/ka/fu/
sa0la1ma0,sa/la/ma/
sa0ma1ki0,sa/ma/ki/
sa1na0,sa/na/
sa0na1a0,sa/na/a/
sa0ⁿɗu1ku0,sa/ndu/ku/
sa1sa0,sa/sa/
sa0u1ti0,sa/u/ti/
sa1wa0,sa/wa/
sa0ja1nsi0,sa/ya/nsi/
sa0ja1ɾi0,sa/ya/ri/
se0he1mu0,se/he/mu/
se0ɾi0ka1li0,se/ri/ka/li/
ʃa0i1ɾi0,sha/i/ri/
ʃa1ᵐɓa0,sha/mba/
ʃi1ɗa0,shi/da/
ʃi1mo0,shi/mo/
ʃi1ᵑgo0,shi/ngo/
ʃu1le0,shu/le/
si1,si/
si0ki1o0,si/ki/o/
si1ku0,si/ku/
si0la1ɓi0,si/la/bi/
si1mu0,si/mu/
si1si0,si/si/
si1ta0,si/ta/
so1ko0,so/ko/
so1mo0,so/mo/
su0ka1ɾi0,su/ka/ri/
su0ma1ku0,su/ma/ku/
su1ɾa0,su/ra/
su1ti0,su/ti/
swa1li0,swa/li/
ta0ɓa0sa1mu0,ta/ba/sa/mu/
ta0fa0ɗha1li0,ta/fa/dha/li/
ta0i1ɾi0,ta/i/ri/
ta0ʄi1ɾi0,ta/ji/ri/
ta0kwi1mu0,ta/kwi/mu/
ta1ᵑgu0,ta/ngu/
ta1no0,ta/no/
